source,granularity,memory_mb,function,invocations,avg_duration_ms,min_duration_ms,max_duration_ms,p50_duration_ms,p90_duration_ms,p95_duration_ms,p99_duration_ms,avg_billed_duration_ms,total_billed_duration_ms,avg_max_memory_used_mb,peak_memory_used_mb,cold_starts,cold_start_rate_pct,avg_init_duration_ms,file
cloudwatch_detailed_g1,G1,128,research-order-g1-128,1181,208.85088060965285,206.07,372.58,208.19,208.59,208.82,221.96200000000005,209.72734970364098,247688.0,75.45554614733277,78.0,2,0.1693480101608806,121.905,RunTestFromClient/g1-128-1000/log-analytics-results-G1-128-2026-07-01.csv
cloudwatch_detailed_g1,G1,512,research-order-g1-512,1173,208.11247229326514,206.07,229.48,208.14,208.52800000000002,208.69,209.34279999999998,208.74850809889173,244862.0,77.47399829497016,79.0,0,0.0,,RunTestFromClient/g1-512-1000/log-analytics-results-G1-512-2026-07-03.csv
cloudwatch_detailed_g1,G1,1024,research-order-g1-1024,1179,208.1957421543681,205.97,218.26,208.23,208.65,208.83100000000002,209.5444,208.84648006785412,246230.0,76.89312977099236,79.0,0,0.0,,RunTestFromClient/g1-1024-1000/log-analytics-results-2026-07-04.csv
cloudwatch_summary,G2,128,research-order-g2-inventory-128,1181,22.6813,20.66,246.28,21.812,22.1415,22.4759,40.9415,23.0601,27234.0,73.2515,76.0,1,0.08467,103.22,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G2,128,research-order-g2-notification-128,1182,18.1477,15.77,261.4,16.8877,17.367,18.2935,43.212,18.5804,21962.0,73.1277,75.0,1,0.0846,134.22,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G2,128,research-order-g2-orchestrator-128,1645,129.7182,78.51,2067.86,117.2863,157.8223,197.4248,420.3047,130.8091,215181.0,89.0438,97.0,2,0.1216,483.79,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G2,128,research-order-g2-payment-128,1181,32.8756,30.58,185.15,31.9531,32.3386,32.6961,49.6525,33.4124,39460.0,73.094,75.0,1,0.08467,136.56,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G2,512,research-order-g2-inventory-512,1181,21.924,20.59,41.51,21.812,22.1415,22.4086,23.4161,22.3082,26346.0,75.4471,78.0,1,0.08467,115.91,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G2,512,research-order-g2-notification-512,1182,17.1565,15.55,104.17,16.8372,17.16,17.4018,18.9259,17.6481,20860.0,73.9255,77.0,2,0.1692,112.07,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G2,512,research-order-g2-orchestrator-512,1511,117.2153,2.15,1414.58,114.0494,124.4108,128.3259,146.5705,118.5414,179116.0,101.7505,112.0,3,0.1985,413.18,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G2,512,research-order-g2-payment-512,1181,32.0203,30.79,42.38,31.9211,32.2418,32.5331,33.6577,32.5097,38394.0,76.0635,80.0,1,0.08467,139.48,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G2,1024,research-order-g2-inventory-1024,1175,22.0282,20.73,38.65,21.9213,22.2302,22.4535,23.2994,22.377,26293.0,73.9898,78.0,0,,,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G2,1024,research-order-g2-notification-1024,1174,16.9134,15.46,23.19,16.8709,17.1771,17.4192,18.0935,17.3603,20381.0,74.5434,79.0,1,0.08518,133.72,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G2,1024,research-order-g2-orchestrator-1024,1504,117.9088,101.52,1128.92,116.4686,125.4095,127.8139,136.8029,119.0718,179084.0,101.0419,111.0,2,0.133,493.92,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G2,1024,research-order-g2-payment-1024,1171,31.9296,30.45,39.2,31.8893,32.1774,32.4357,33.3897,32.3476,37879.0,75.8044,81.0,1,0.0854,128.3,Cloudwatch/G2/log-analytics-results-2026-07-08.csv
cloudwatch_summary,G3,128,research-order-g3-inventory,3537,2.2244,0.97,324.02,1.2994,1.5493,3.7597,17.9315,2.9406,10401.0,72.1072,76.0,1,0.02827,134.3,Cloudwatch/G3/log-analytics-results-2026-07-08.csv
