granularity,memorySize,@log,invocations,avgDurationMs,minDurationMs,maxDurationMs,p50DurationMs,p90DurationMs,p95DurationMs,p99DurationMs,avgBilledDurationMs,totalBilledDurationMs,avgMaxMemoryUsedMB,peakMemoryUsedMB,coldStarts,coldStartRatePercent,avgInitDurationMs
g4,128,390403896473:/aws/lambda/research-order-g4-authorize-payment,3540,2.1847,1.03,262.77,1.3893,1.6599,1.989,18.3301,2.8466,10077,72.3548,77,2,0.0565,117.81
g4,128,390403896473:/aws/lambda/research-order-g4-calculate-discount,3540,2.5616,1.19,194.46,1.4388,1.7484,6.6796,19.1542,3.1952,11311,73.4788,77,2,0.0565,136.625
g4,128,390403896473:/aws/lambda/research-order-g4-calculate-tax,3540,2.4243,1.12,265.4,1.3991,1.6699,5.255,18.2752,3.0794,10901,73.526,78,2,0.0565,119.485
g4,128,390403896473:/aws/lambda/research-order-g4-capture-payment,3540,2.4887,1.19,161.35,1.4591,1.7999,8.0282,19.0778,3.0638,10846,73.9989,78,1,0.02825,133.03
g4,128,390403896473:/aws/lambda/research-order-g4-check-inventory,3540,2.8041,1.17,150.78,1.4188,1.9594,13.3125,23.3927,3.4167,12095,74.1339,77,1,0.02825,146.78
g4,128,390403896473:/aws/lambda/research-order-g4-normalize-items,3540,2.5954,1.1,230.04,1.3687,1.6287,4.2686,20.2569,3.3203,11754,72.5096,76,3,0.08475,122.6367
g4,128,390403896473:/aws/lambda/research-order-g4-orchestrator-128,1181,360.5588,267.29,5149.85,327.0475,446.7278,567.8343,748.9642,361.9035,427408,96.8544,98,2,0.1693,495.14
g4,128,390403896473:/aws/lambda/research-order-g4-persist-order,3540,2.5216,1.17,267.41,1.4288,1.6985,6.316,19.1734,3.1466,11139,75.1367,79,2,0.0565,117.335
g4,128,390403896473:/aws/lambda/research-order-g4-price-items,3540,2.2597,1.02,159.59,1.3098,1.6092,4.2092,19.1926,2.9898,10584,73.5791,77,2,0.0565,119.845
g4,128,390403896473:/aws/lambda/research-order-g4-reserve-inventory,3540,2.4203,1.15,155.99,1.4089,1.7397,7.5232,19.3466,3.0316,10732,73.7299,77,1,0.02825,130.42
g4,128,390403896473:/aws/lambda/research-order-g4-send-notification,3540,2.4783,1.18,246.8,1.4288,1.7293,4.8173,19.0969,3.1161,11031,73.5751,77,2,0.0565,136.145
g4,128,390403896473:/aws/lambda/research-order-g4-validate-customer,3540,2.3124,1.08,295.55,1.3591,1.5996,2.769,18.4773,3.0119,10662,73.4164,77,2,0.0565,135.505
g4,128,390403896473:/aws/lambda/research-order-g4-validate-request,3540,2.4123,1.12,199.37,1.4188,1.6883,4.1591,20.2165,3.1045,10990,71.8638,76,3,0.08475,140.08
g4,512,390403896473:/aws/lambda/research-order-g4-orchestrator-512,1171,192.2065,147.93,554.79,187.6134,214.9306,234.4569,284.6257,192.696,225647,120.7993,122,,,
g4,1024,390403896473:/aws/lambda/research-order-g4-orchestrator-1024,1173,193.3216,140.99,558.84,190.4473,214.9306,226.6232,282.9239,194.237,227840,126.6488,135,1,0.08525,490.71
