granularity,memorySize,@log,invocations,avgDurationMs,minDurationMs,maxDurationMs,p50DurationMs,p90DurationMs,p95DurationMs,p99DurationMs,avgBilledDurationMs,totalBilledDurationMs,avgMaxMemoryUsedMB,peakMemoryUsedMB,coldStarts,coldStartRatePercent,avgInitDurationMs
g2,128,390403896473:/aws/lambda/research-order-g2-inventory-128,1181,22.6813,20.66,246.28,21.812,22.1415,22.4759,40.9415,23.0601,27234,73.2515,76,1,0.08467,103.22
g2,128,390403896473:/aws/lambda/research-order-g2-notification-128,1182,18.1477,15.77,261.4,16.8877,17.367,18.2935,43.212,18.5804,21962,73.1277,75,1,0.0846,134.22
g2,128,390403896473:/aws/lambda/research-order-g2-orchestrator-128,1645,129.7182,78.51,2067.86,117.2863,157.8223,197.4248,420.3047,130.8091,215181,89.0438,97,2,0.1216,483.79
g2,128,390403896473:/aws/lambda/research-order-g2-payment-128,1181,32.8756,30.58,185.15,31.9531,32.3386,32.6961,49.6525,33.4124,39460,73.094,75,1,0.08467,136.56
g2,512,390403896473:/aws/lambda/research-order-g2-inventory-512,1181,21.924,20.59,41.51,21.812,22.1415,22.4086,23.4161,22.3082,26346,75.4471,78,1,0.08467,115.91
g2,512,390403896473:/aws/lambda/research-order-g2-notification-512,1182,17.1565,15.55,104.17,16.8372,17.16,17.4018,18.9259,17.6481,20860,73.9255,77,2,0.1692,112.07
g2,512,390403896473:/aws/lambda/research-order-g2-orchestrator-512,1511,117.2153,2.15,1414.58,114.0494,124.4108,128.3259,146.5705,118.5414,179116,101.7505,112,3,0.1985,413.18
g2,512,390403896473:/aws/lambda/research-order-g2-payment-512,1181,32.0203,30.79,42.38,31.9211,32.2418,32.5331,33.6577,32.5097,38394,76.0635,80,1,0.08467,139.48
g2,1024,390403896473:/aws/lambda/research-order-g2-inventory-1024,1175,22.0282,20.73,38.65,21.9213,22.2302,22.4535,23.2994,22.377,26293,73.9898,78,,,
g2,1024,390403896473:/aws/lambda/research-order-g2-notification-1024,1174,16.9134,15.46,23.19,16.8709,17.1771,17.4192,18.0935,17.3603,20381,74.5434,79,1,0.08518,133.72
g2,1024,390403896473:/aws/lambda/research-order-g2-orchestrator-1024,1504,117.9088,101.52,1128.92,116.4686,125.4095,127.8139,136.8029,119.0718,179084,101.0419,111,2,0.133,493.92
g2,1024,390403896473:/aws/lambda/research-order-g2-payment-1024,1171,31.9296,30.45,39.2,31.8893,32.1774,32.4357,33.3897,32.3476,37879,75.8044,81,1,0.0854,128.3
